transaction_id,TransactionType,Amount,TransactionDate_ID
607,deposit,220.23,610
191,withdrawal,66.63,1310
192,withdrawal,279.22,132
193,withdrawal,401.65,912
195,withdrawal,98.15,1237
196,withdrawal,320.55,479
197,withdrawal,30.89,574
200,deposit,176.63,832
483,withdrawal,337.16,832
506,withdrawal,207.57,832
201,deposit,253.14,787
202,withdrawal,47.27,438
204,deposit,276.36,736
205,withdrawal,412.97,995
207,deposit,79.55,26
825,deposit,173.35,26
208,deposit,35.23,151
209,withdrawal,266.37,374
210,deposit,63.76,578
873,withdrawal,206.36,578
908,deposit,252.15,578
213,withdrawal,217.1,469
214,withdrawal,312.66,276
489,deposit,224.21,276
768,withdrawal,61.58,276
216,deposit,407.5,143
217,deposit,421.38,168
219,withdrawal,313.8,1109
221,deposit,425.4,1108
612,deposit,81.21,1108
222,withdrawal,80.8,423
223,withdrawal,341.31,16
224,deposit,322.46,1471
225,withdrawal,306.9,285
486,withdrawal,289.72,285
228,deposit,78.04,1244
229,deposit,111.97,1328
746,withdrawal,164.82,1328
230,withdrawal,352.55,843
790,withdrawal,423.28,843
232,deposit,49.09,1017
233,deposit,64.83,348
235,deposit,122.48,616
236,deposit,177.25,313
237,withdrawal,266.18,11
238,deposit,118.19,651
274,withdrawal,241.7,651
673,withdrawal,457.32,651
239,deposit,217.46,247
240,deposit,77.54,1427
241,withdrawal,399.36,829
242,withdrawal,180.71,540
243,withdrawal,164.47,1196
245,withdrawal,174.11,1162
298,deposit,419.84,1162
432,withdrawal,336.68,1162
761,deposit,237.52,1162
246,withdrawal,378.17,513
247,withdrawal,174.73,88
248,deposit,477.95,1070
250,withdrawal,85.33,1054
444,deposit,49.79,1054
978,withdrawal,311.09,1054
251,withdrawal,445.89,33
252,deposit,481.43,8
253,withdrawal,239.09,1209
254,deposit,269.26,1412
758,withdrawal,442.31,1412
255,withdrawal,460.21,248
608,withdrawal,163.08,248
256,withdrawal,172.12,1146
257,withdrawal,243.54,1380
258,deposit,454.61,810
478,deposit,69.6,810
259,deposit,161.07,1117
260,deposit,365.0,1271
261,withdrawal,88.95,1050
262,deposit,411.8,775
548,withdrawal,60.05,775
264,deposit,69.89,106
469,deposit,29.91,106
987,withdrawal,58.06,106
265,deposit,26.87,1467
266,deposit,299.31,365
268,withdrawal,162.0,432
375,withdrawal,303.86,432
269,deposit,151.28,1452
725,withdrawal,350.19,1452
270,withdrawal,300.94,869
315,deposit,296.78,869
536,withdrawal,350.94,869
271,withdrawal,380.93,861
272,withdrawal,413.78,118
413,deposit,273.78,118
273,withdrawal,23.87,139
275,withdrawal,25.71,830
276,withdrawal,307.91,1232
277,deposit,392.1,1083
279,deposit,346.83,1280
844,withdrawal,134.21,1280
280,deposit,111.3,1324
281,withdrawal,72.82,1499
686,deposit,443.22,1499
282,withdrawal,383.12,270
371,deposit,232.37,270
592,deposit,202.06,270
284,withdrawal,423.27,385
391,withdrawal,288.83,385
419,deposit,404.93,385
841,deposit,152.3,385
285,deposit,438.4,1267
956,deposit,464.51,1267
287,deposit,34.64,68
288,withdrawal,130.01,1248
289,withdrawal,243.07,1289
290,deposit,61.85,410
498,withdrawal,29.67,410
628,withdrawal,303.8,410
931,deposit,195.41,410
291,withdrawal,185.4,575
292,deposit,201.65,451
293,withdrawal,420.1,591
294,withdrawal,155.91,1315
454,deposit,272.3,1315
295,deposit,100.03,1256
297,withdrawal,151.77,609
299,deposit,185.11,304
926,deposit,499.21,304
300,withdrawal,194.92,1399
301,deposit,63.04,1076
303,withdrawal,437.18,583
304,withdrawal,388.07,1210
306,withdrawal,316.43,661
845,withdrawal,53.36,661
308,withdrawal,436.38,1132
310,deposit,463.22,730
311,withdrawal,422.89,209
313,deposit,161.43,1148
314,withdrawal,275.86,1311
317,withdrawal,146.72,727
318,withdrawal,93.05,383
320,deposit,425.53,858
637,withdrawal,231.63,858
321,withdrawal,202.62,1468
323,withdrawal,316.0,173
324,deposit,397.33,15
325,withdrawal,177.82,230
326,withdrawal,288.33,969
393,withdrawal,483.56,969
327,withdrawal,474.14,178
328,withdrawal,123.46,557
658,withdrawal,230.88,557
329,deposit,321.25,403
349,withdrawal,229.41,403
331,deposit,396.48,29
333,withdrawal,109.91,14
334,withdrawal,356.6,931
336,withdrawal,128.3,152
337,withdrawal,320.2,1012
620,deposit,382.29,1012
735,withdrawal,224.77,1012
338,deposit,275.7,1293
339,withdrawal,174.1,1273
342,withdrawal,487.49,1292
343,deposit,406.15,1008
824,withdrawal,116.77,1008
346,deposit,461.82,243
347,withdrawal,345.59,199
348,deposit,193.47,729
795,deposit,67.51,729
350,withdrawal,359.82,1134
351,deposit,456.38,454
963,withdrawal,137.05,454
352,deposit,295.71,134
355,deposit,133.73,169
359,deposit,375.24,164
798,deposit,278.74,164
360,deposit,35.57,417
361,deposit,254.0,638
362,withdrawal,224.95,56
365,deposit,406.71,401
366,withdrawal,305.31,163
367,deposit,263.58,764
368,deposit,23.07,1261
369,deposit,271.41,510
372,withdrawal,468.14,1321
373,deposit,430.09,930
414,withdrawal,213.23,930
376,withdrawal,326.82,381
377,withdrawal,416.18,1275
380,deposit,225.28,976
382,withdrawal,300.97,1423
777,deposit,184.9,1423
383,withdrawal,84.42,347
385,withdrawal,334.48,1458
448,deposit,256.19,1458
386,withdrawal,332.85,249
387,deposit,389.89,1361
389,withdrawal,48.36,1233
617,withdrawal,417.49,1233
826,withdrawal,378.88,1233
390,deposit,460.77,167
392,withdrawal,169.59,95
560,withdrawal,323.57,95
394,deposit,400.2,1459
396,withdrawal,251.96,372
398,withdrawal,82.62,813
399,deposit,46.84,582
400,deposit,144.38,941
403,deposit,334.44,284
744,deposit,438.99,284
898,withdrawal,123.69,284
405,deposit,90.96,687
909,withdrawal,495.55,687
406,deposit,259.24,672
407,withdrawal,141.26,849
411,withdrawal,175.83,849
409,deposit,173.43,154
621,withdrawal,431.9,154
412,deposit,149.3,507
866,withdrawal,35.55,507
415,withdrawal,349.89,1349
416,withdrawal,49.75,13
417,deposit,480.38,975
519,withdrawal,386.76,975
418,withdrawal,319.03,692
706,withdrawal,143.86,692
422,deposit,207.53,480
423,withdrawal,39.69,1374
424,withdrawal,328.36,1429
425,withdrawal,389.75,131
788,deposit,227.52,131
426,deposit,294.51,1294
618,deposit,164.26,1294
427,deposit,97.28,600
428,deposit,359.38,1149
759,deposit,63.38,1149
429,deposit,352.67,1205
430,deposit,252.03,1440
431,deposit,87.19,1198
433,withdrawal,117.2,34
435,deposit,269.72,792
705,deposit,460.47,792
896,deposit,354.18,792
436,withdrawal,394.14,694
918,deposit,431.4,694
438,deposit,348.35,735
440,deposit,345.24,1027
441,withdrawal,96.95,910
442,withdrawal,386.17,565
443,deposit,363.68,1143
546,withdrawal,371.31,1143
445,withdrawal,305.06,1417
446,deposit,82.96,793
447,deposit,268.32,1470
449,withdrawal,94.04,521
451,withdrawal,206.23,41
911,deposit,477.01,41
452,deposit,365.32,535
453,withdrawal,402.94,854
457,withdrawal,268.05,103
458,withdrawal,56.55,1265
461,deposit,39.96,1096
462,deposit,134.8,446
977,withdrawal,411.27,446
463,deposit,271.95,293
464,deposit,166.03,823
465,withdrawal,461.82,1063
466,withdrawal,409.38,1106
470,withdrawal,280.67,51
471,withdrawal,60.95,5
472,deposit,330.14,700
473,withdrawal,338.91,137
475,deposit,221.71,1359
476,deposit,227.09,913
477,withdrawal,98.26,1214
853,withdrawal,375.89,1214
479,deposit,116.7,576
482,withdrawal,394.32,166
484,withdrawal,482.81,1378
567,deposit,175.91,1378
485,deposit,186.9,524
487,withdrawal,352.65,1167
490,deposit,359.29,553
491,deposit,100.25,928
665,deposit,301.47,928
492,deposit,451.04,897
494,deposit,382.19,942
495,deposit,157.69,671
496,withdrawal,499.74,52
497,deposit,147.12,719
499,deposit,421.41,1115
501,deposit,318.2,206
502,deposit,180.25,175
503,withdrawal,200.51,857
507,withdrawal,447.55,828
508,withdrawal,286.73,115
509,deposit,365.94,525
510,withdrawal,111.06,945
512,withdrawal,108.9,370
513,withdrawal,256.33,887
515,deposit,447.2,780
518,deposit,110.55,1497
522,deposit,316.92,1478
523,deposit,331.85,1092
710,deposit,50.37,1092
524,deposit,198.58,457
933,deposit,185.92,457
525,withdrawal,361.25,331
526,withdrawal,296.02,564
527,withdrawal,473.48,1362
528,withdrawal,414.79,1131
828,withdrawal,375.91,1131
529,deposit,399.56,1022
729,deposit,459.81,1022
531,deposit,417.56,1379
532,withdrawal,266.32,174
533,withdrawal,348.23,1262
534,deposit,104.22,27
535,deposit,212.75,397
643,withdrawal,269.25,397
538,deposit,391.2,412
540,withdrawal,218.65,37
542,deposit,56.06,1281
544,withdrawal,257.96,238
545,withdrawal,425.28,1141
569,withdrawal,429.33,1141
547,withdrawal,327.44,683
549,withdrawal,478.11,1339
550,withdrawal,439.76,371
551,withdrawal,465.86,418
552,deposit,472.21,308
553,withdrawal,140.99,1419
554,deposit,194.16,1163
555,withdrawal,243.5,1203
556,deposit,481.86,797
558,withdrawal,109.41,816
559,deposit,178.26,1227
565,deposit,482.11,194
566,withdrawal,426.9,144
922,withdrawal,273.4,144
568,deposit,63.97,836
571,deposit,175.14,319
572,deposit,78.41,880
575,withdrawal,280.85,1367
576,withdrawal,196.15,395
577,withdrawal,60.08,1298
578,deposit,63.66,86
580,deposit,123.56,231
582,withdrawal,413.83,943
583,withdrawal,343.51,1279
943,withdrawal,47.81,1279
584,withdrawal,143.18,693
588,withdrawal,487.96,171
589,deposit,420.75,1042
590,withdrawal,155.67,198
591,deposit,460.51,918
594,deposit,346.16,1268
595,deposit,336.35,754
599,deposit,440.25,518
600,deposit,305.68,960
942,deposit,428.93,960
601,deposit,270.43,999
602,withdrawal,243.29,71
603,deposit,447.97,992
605,withdrawal,213.02,278
614,deposit,296.87,278
606,withdrawal,149.04,622
609,deposit,229.77,1153
939,withdrawal,22.67,1153
610,withdrawal,264.1,109
611,deposit,344.12,1274
855,deposit,129.53,1274
613,deposit,152.49,354
622,withdrawal,314.26,159
623,withdrawal,436.82,1189
624,withdrawal,400.98,409
625,withdrawal,147.84,1065
947,deposit,85.43,1065
626,withdrawal,375.34,81
811,withdrawal,318.38,81
627,deposit,99.94,442
629,withdrawal,128.35,691
630,withdrawal,273.11,60
927,deposit,214.46,60
632,deposit,397.28,677
634,deposit,172.5,456
635,withdrawal,107.07,919
636,withdrawal,217.2,1192
682,withdrawal,419.19,1192
638,withdrawal,241.14,1155
640,deposit,383.33,262
641,withdrawal,443.16,822
645,deposit,273.08,1206
646,withdrawal,188.36,527
647,withdrawal,206.1,424
648,withdrawal,384.3,213
655,deposit,195.62,213
934,withdrawal,199.22,213
649,withdrawal,271.14,1418
846,deposit,303.79,1418
650,deposit,285.47,237
651,withdrawal,37.57,329
652,withdrawal,336.6,615
782,withdrawal,364.72,615
654,deposit,369.02,1488
657,withdrawal,245.28,153
659,withdrawal,82.92,1278
781,deposit,35.78,1278
808,deposit,345.14,1278
660,withdrawal,20.74,1036
661,deposit,160.14,1368
663,deposit,100.57,1272
664,withdrawal,333.64,1320
786,deposit,165.52,1320
666,deposit,393.86,470
668,deposit,207.68,1387
669,deposit,69.98,251
672,deposit,279.09,891
676,withdrawal,55.73,366
677,withdrawal,160.37,1
678,withdrawal,344.11,983
680,withdrawal,267.72,588
681,deposit,314.01,234
684,deposit,49.37,1443
685,withdrawal,180.31,1204
687,deposit,475.03,721
688,deposit,298.15,994
689,withdrawal,486.54,1490
690,deposit,214.98,394
691,withdrawal,381.46,1093
693,deposit,354.62,1291
930,deposit,273.38,1291
694,deposit,307.95,363
695,withdrawal,349.73,886
698,withdrawal,249.22,483
699,deposit,372.74,796
704,withdrawal,298.12,59
708,withdrawal,469.8,1165
709,deposit,61.28,1245
711,withdrawal,368.28,951
713,deposit,100.4,1381
893,withdrawal,104.89,1381
715,withdrawal,41.77,533
716,withdrawal,375.37,102
717,deposit,464.81,1353
718,withdrawal,98.94,44
719,withdrawal,365.05,302
720,withdrawal,355.71,1477
878,deposit,150.94,1477
721,withdrawal,405.08,7
723,withdrawal,221.87,274
938,withdrawal,192.76,274
968,withdrawal,329.84,274
724,deposit,330.56,1396
726,withdrawal,491.4,704
727,deposit,432.95,932
728,withdrawal,153.95,1081
730,deposit,439.47,606
732,deposit,265.49,841
733,withdrawal,288.39,953
739,deposit,328.19,938
740,deposit,438.4,558
742,deposit,152.27,1101
743,withdrawal,374.65,914
745,withdrawal,291.71,242
747,withdrawal,415.56,116
749,withdrawal,484.75,197
750,withdrawal,458.76,1450
751,withdrawal,253.72,434
753,withdrawal,81.57,667
754,deposit,373.26,1393
756,withdrawal,117.9,107
757,deposit,467.19,511
760,deposit,412.57,130
763,withdrawal,425.53,1463
765,deposit,321.71,191
767,deposit,403.99,707
769,deposit,175.05,39
871,deposit,235.7,39
770,withdrawal,420.79,523
774,deposit,235.49,599
776,deposit,466.84,145
778,withdrawal,171.77,1407
780,deposit,116.87,1246
783,deposit,461.45,570
784,deposit,495.3,305
787,withdrawal,280.39,256
789,deposit,387.54,214
791,deposit,100.34,232
793,deposit,405.47,1144
794,deposit,113.28,1179
796,withdrawal,375.39,1095
799,deposit,138.12,1185
801,deposit,45.34,497
802,withdrawal,166.31,1097
803,withdrawal,136.9,273
919,deposit,464.69,273
804,deposit,107.09,538
805,withdrawal,319.84,1178
807,deposit,271.67,1216
950,deposit,329.5,1216
809,deposit,71.1,415
810,deposit,57.84,325
812,deposit,378.28,398
813,deposit,87.79,496
870,deposit,205.89,496
814,withdrawal,211.13,597
815,withdrawal,367.84,1094
816,deposit,485.76,1332
832,withdrawal,485.29,1332
817,withdrawal,466.1,1053
819,withdrawal,21.32,1283
820,withdrawal,499.36,1242
821,deposit,132.89,580
822,withdrawal,48.55,1129
823,withdrawal,43.47,1479
829,deposit,406.52,85
831,deposit,59.2,596
833,withdrawal,362.98,577
835,withdrawal,177.93,364
836,withdrawal,481.91,512
838,withdrawal,230.93,1308
840,withdrawal,400.25,352
849,withdrawal,168.52,1426
851,deposit,248.92,643
852,deposit,250.75,860
854,deposit,486.32,260
856,withdrawal,400.19,987
857,deposit,45.15,1295
858,withdrawal,168.76,1193
860,deposit,255.19,74
861,deposit,99.57,22
862,withdrawal,273.01,387
864,withdrawal,130.18,367
865,withdrawal,244.97,1034
868,withdrawal,54.28,1086
869,deposit,447.56,572
872,deposit,54.83,356
887,deposit,413.38,356
875,deposit,199.47,974
877,deposit,461.68,124
879,deposit,53.28,379
882,deposit,498.69,181
883,deposit,157.75,322
884,withdrawal,442.35,408
889,deposit,194.21,859
890,deposit,255.18,554
891,deposit,431.8,1113
892,withdrawal,372.59,835
897,deposit,41.51,840
899,withdrawal,74.05,445
902,deposit,432.41,405
903,withdrawal,183.25,196
904,withdrawal,171.76,1112
905,deposit,133.29,625
906,withdrawal,272.05,493
907,withdrawal,70.46,1263
910,deposit,72.66,3
913,withdrawal,232.51,668
914,withdrawal,143.16,786
915,deposit,480.59,1343
917,withdrawal,137.11,1334
921,withdrawal,462.68,634
923,withdrawal,34.46,75
966,withdrawal,252.36,75
924,deposit,368.39,94
925,deposit,356.26,1347
991,withdrawal,360.28,1347
928,withdrawal,419.21,1241
929,deposit,195.26,160
932,withdrawal,342.17,720
935,withdrawal,317.19,1439
936,withdrawal,85.14,1469
940,deposit,62.5,737
941,deposit,266.13,1422
945,deposit,496.21,195
946,deposit,29.98,471
949,deposit,154.29,70
955,withdrawal,343.17,267
957,withdrawal,51.63,1382
958,withdrawal,320.77,1041
959,deposit,76.52,292
960,deposit,40.51,571
962,withdrawal,297.7,268
964,deposit,291.47,618
967,withdrawal,272.85,924
970,deposit,138.58,57
972,withdrawal,287.54,422
973,withdrawal,425.05,252
979,withdrawal,61.01,689
980,deposit,452.94,73
981,deposit,108.92,556
982,withdrawal,268.3,825
983,deposit,388.27,1357
988,deposit,201.64,548
994,withdrawal,499.3,108
996,withdrawal,303.3,1286
997,deposit,484.0,362
998,withdrawal,427.36,1266
999,withdrawal,415.01,771
1000,deposit,115.48,655
