customer_id,account_id,transaction_id,loan_id
39,75,187,53
66,102,188,91
66,102,188,92
66,102,188,93
50,126,189,65
50,126,189,66
50,127,190,65
50,127,190,66
72,128,191,105
72,128,191,106
23,129,192,1
38,130,193,52
33,41,194,47
33,41,194,48
33,41,194,49
70,122,195,98
73,131,196,1
57,116,197,76
57,116,197,77
57,116,197,78
35,110,198,51
74,132,199,107
8,8,200,1
25,133,201,1
49,97,202,1
60,134,203,82
60,134,203,83
15,72,204,21
15,72,205,21
3,45,206,6
3,45,206,7
3,45,206,8
74,132,207,107
57,87,208,76
57,87,208,77
57,87,208,78
3,3,209,6
3,3,209,7
3,3,209,8
75,135,210,108
75,135,210,109
27,33,211,38
27,33,211,39
27,33,211,40
76,136,212,1
27,33,213,38
27,33,213,39
27,33,213,40
67,137,214,94
67,137,214,95
67,137,214,96
28,34,215,41
12,108,216,17
2,24,217,2
2,24,217,3
2,24,217,4
2,24,217,5
42,96,218,1
57,138,219,76
57,138,219,77
57,138,219,78
3,98,220,6
3,98,220,7
3,98,220,8
50,120,221,65
50,120,221,66
16,139,222,22
16,139,222,23
16,139,222,24
5,5,223,11
44,64,224,1
6,61,225,12
60,90,226,82
60,90,226,83
49,97,227,1
12,57,228,17
75,135,229,108
75,135,229,109
17,18,230,25
19,115,231,27
35,110,232,51
23,27,233,1
36,47,234,1
12,108,235,17
23,80,236,1
12,12,237,17
27,140,238,38
27,140,238,39
27,140,238,40
24,141,239,1
49,142,240,1
50,120,241,65
50,120,241,66
54,107,242,1
52,143,243,1
25,94,244,1
53,82,245,72
53,82,245,73
53,82,245,74
75,135,246,108
75,135,246,109
12,49,247,17
60,134,248,82
60,134,248,83
45,65,249,57
45,65,249,58
30,36,250,43
30,36,250,44
25,62,251,1
6,114,252,12
46,144,253,59
46,144,253,60
50,145,254,65
50,145,254,66
19,115,255,27
46,73,256,59
46,73,256,60
42,96,257,1
77,146,258,1
18,20,259,26
13,13,260,18
13,13,260,19
13,13,260,20
35,110,261,51
33,41,262,47
33,41,262,48
33,41,262,49
12,57,263,17
1,147,264,1
1,1,265,1
7,148,266,13
14,149,267,1
78,150,268,110
78,150,268,111
78,150,268,112
21,25,269,31
21,25,269,32
21,25,269,33
61,91,270,84
50,145,271,65
50,145,271,66
23,80,272,1
33,93,273,47
33,93,273,48
33,93,273,49
6,76,274,12
31,53,275,1
28,34,276,41
8,8,277,1
46,144,278,59
46,144,278,60
3,45,279,6
3,45,279,7
3,45,279,8
52,151,280,1
14,149,281,1
46,73,282,59
46,73,282,60
38,106,283,52
7,148,284,13
1,147,285,1
55,84,286,75
40,54,287,54
45,65,288,57
45,65,288,58
15,72,289,21
28,34,290,41
50,126,291,65
50,126,291,66
40,54,292,54
17,67,293,25
10,19,294,1
66,152,295,91
66,152,295,92
66,152,295,93
11,153,296,14
11,153,296,15
11,153,296,16
66,102,297,91
66,102,297,92
66,102,297,93
17,67,298,25
6,114,299,12
55,84,300,75
50,120,301,65
50,120,301,66
53,82,302,72
53,82,302,73
53,82,302,74
15,154,303,21
53,82,304,72
53,82,304,73
53,82,304,74
50,145,305,65
50,145,305,66
44,155,306,1
40,156,307,54
47,70,308,61
46,66,309,59
46,66,309,60
34,111,310,50
50,145,311,65
50,145,311,66
76,136,312,1
52,81,313,1
16,157,314,22
16,157,314,23
16,157,314,24
14,149,315,1
26,31,316,36
26,31,316,37
24,56,317,1
46,144,318,59
46,144,318,60
33,93,319,47
33,93,319,48
33,93,319,49
46,158,320,59
46,158,320,60
39,124,321,53
65,105,322,1
2,24,323,2
2,24,323,3
2,24,323,4
2,24,323,5
22,26,324,34
22,26,324,35
39,75,325,53
56,86,326,1
56,86,327,1
23,129,328,1
58,92,329,79
58,92,329,80
60,90,330,82
60,90,330,83
34,42,331,50
30,36,332,43
30,36,332,44
41,55,333,55
4,4,334,9
4,4,334,10
74,132,335,107
7,7,336,13
38,50,337,52
50,120,338,65
50,120,338,66
34,111,339,50
3,45,340,6
3,45,340,7
3,45,340,8
66,159,341,91
66,159,341,92
66,159,341,93
39,124,342,53
75,135,343,108
75,135,343,109
23,129,344,1
60,160,345,82
60,160,345,83
65,101,346,1
16,161,347,22
16,161,347,23
16,161,347,24
3,3,348,6
3,3,348,7
3,3,348,8
75,135,349,108
75,135,349,109
65,105,350,1
67,137,351,94
67,137,351,95
67,137,351,96
56,162,352,1
50,117,353,65
50,117,353,66
60,160,354,82
60,160,354,83
6,6,355,12
31,53,356,1
31,38,357,1
54,163,358,1
79,164,359,113
79,164,359,114
79,164,359,115
28,112,360,41
75,135,361,108
75,135,361,109
6,6,362,12
20,165,363,28
20,165,363,29
20,165,363,30
37,48,364,1
46,144,365,59
46,144,365,60
18,20,366,26
19,21,367,27
22,74,368,34
22,74,368,35
68,121,369,97
80,166,370,1
20,165,371,28
20,165,371,29
20,165,371,30
60,160,372,82
60,160,372,83
5,5,373,11
59,167,374,81
11,153,375,14
11,153,375,15
11,153,375,16
10,19,376,1
14,14,377,1
14,149,378,1
50,145,379,65
50,145,379,66
22,168,380,34
22,168,380,35
5,30,381,11
28,34,382,41
17,18,383,25
27,33,384,38
27,33,384,39
27,33,384,40
30,36,385,43
30,36,385,44
51,79,386,67
51,79,386,68
51,79,386,69
51,79,386,70
51,79,386,71
6,61,387,12
50,78,388,65
50,78,388,66
50,145,389,65
50,145,389,66
8,8,390,1
2,24,391,2
2,24,391,3
2,24,391,4
2,24,391,5
69,119,392,1
47,169,393,61
28,34,394,41
6,6,395,12
27,33,396,38
27,33,396,39
27,33,396,40
19,115,397,27
19,170,398,27
41,55,399,55
47,169,400,61
34,42,401,50
24,141,402,1
28,34,403,41
3,98,404,6
3,98,404,7
3,98,404,8
25,94,405,1
22,74,406,34
22,74,406,35
66,159,407,91
66,159,407,92
66,159,407,93
26,109,408,36
26,109,408,37
27,171,409,38
27,171,409,39
27,171,409,40
19,115,410,27
18,104,411,26
39,52,412,53
9,59,413,1
3,45,414,6
3,45,414,7
3,45,414,8
27,171,415,38
27,171,415,39
27,171,415,40
35,43,416,51
38,130,417,52
54,107,418,1
15,154,419,21
57,116,420,76
57,116,420,77
57,116,420,78
40,156,421,54
48,71,422,62
48,71,422,63
48,71,422,64
51,79,423,67
51,79,423,68
51,79,423,69
51,79,423,70
51,79,423,71
68,121,424,97
60,134,425,82
60,134,425,83
10,19,426,1
34,111,427,50
12,49,428,17
79,172,429,113
79,172,429,114
79,172,429,115
17,17,430,25
12,173,431,17
61,91,432,84
61,174,433,84
49,175,434,1
72,128,435,105
72,128,435,106
50,145,436,65
50,145,436,66
80,166,437,1
27,171,438,38
27,171,438,39
27,171,438,40
4,32,439,9
4,32,439,10
17,17,440,25
12,49,441,17
36,58,442,1
69,176,443,1
76,136,444,1
37,48,445,1
50,120,446,65
50,120,446,66
63,99,447,89
63,99,447,90
44,64,448,1
54,85,449,1
24,141,450,1
62,95,451,85
62,95,451,86
62,95,451,87
62,95,451,88
60,134,452,82
60,134,452,83
72,128,453,105
72,128,453,106
77,146,454,1
77,146,455,1
25,133,456,1
28,37,457,41
33,41,458,47
33,41,458,48
33,41,458,49
26,109,459,36
26,109,459,37
42,96,460,1
65,105,461,1
34,42,462,50
33,41,463,47
33,41,463,48
33,41,463,49
80,166,464,1
2,2,465,2
2,2,465,3
2,2,465,4
2,2,465,5
6,76,466,12
68,121,467,97
30,36,468,43
30,36,468,44
31,38,469,1
47,123,470,61
52,81,471,1
40,156,472,54
27,33,473,38
27,33,473,39
27,33,473,40
60,134,474,82
60,134,474,83
19,170,475,27
59,89,476,81
33,93,477,47
33,93,477,48
33,93,477,49
8,177,478,1
79,164,479,113
79,164,479,114
79,164,479,115
20,165,480,28
20,165,480,29
20,165,480,30
41,55,481,55
39,124,482,53
17,17,483,25
76,136,484,1
8,8,485,1
72,178,486,105
72,178,486,106
11,153,487,14
11,153,487,15
11,153,487,16
68,118,488,97
52,179,489,1
54,163,490,1
6,76,491,12
12,173,492,17
19,170,493,27
69,180,494,1
43,181,495,56
75,135,496,108
75,135,496,109
17,67,497,25
25,94,498,1
36,58,499,1
7,182,500,13
39,183,501,53
50,78,502,65
50,78,502,66
59,89,503,81
67,137,504,94
67,137,504,95
67,137,504,96
39,75,505,53
18,51,506,26
17,67,507,25
65,105,508,1
50,145,509,65
50,145,509,66
31,53,510,1
34,42,511,50
15,154,512,21
78,150,513,110
78,150,513,111
78,150,513,112
10,184,514,1
10,19,515,1
54,85,516,1
77,146,517,1
3,3,518,6
3,3,518,7
3,3,518,8
46,158,519,59
46,158,519,60
58,88,520,79
58,88,520,80
69,176,521,1
23,80,522,1
46,66,523,59
46,66,523,60
19,170,524,27
23,80,525,1
7,7,526,13
14,149,527,1
63,99,528,89
63,99,528,90
40,54,529,54
38,106,530,52
69,180,531,1
25,94,532,1
55,84,533,75
10,10,534,1
16,161,535,22
16,161,535,23
16,161,535,24
19,21,536,27
17,18,537,25
48,71,538,62
48,71,538,63
48,71,538,64
16,139,539,22
16,139,539,23
16,139,539,24
14,14,540,1
12,49,541,17
57,138,542,76
57,138,542,77
57,138,542,78
1,147,543,1
11,11,544,14
11,11,544,15
11,11,544,16
39,75,545,53
36,58,546,1
61,174,547,84
40,156,548,54
78,185,549,110
78,185,549,111
78,185,549,112
18,20,550,26
81,186,551,116
69,180,552,1
82,187,553,117
47,169,554,61
52,81,555,1
73,131,556,1
50,120,557,65
50,120,557,66
22,26,558,34
22,26,558,35
12,57,559,17
10,184,560,1
33,41,561,47
33,41,561,48
33,41,561,49
52,81,562,1
37,188,563,1
12,12,564,17
37,48,565,1
74,132,566,107
59,89,567,81
56,86,568,1
13,13,569,18
13,13,569,19
13,13,569,20
17,18,570,25
39,183,571,53
18,51,572,26
40,156,573,54
60,160,574,82
60,160,574,83
28,37,575,41
47,169,576,61
28,37,577,41
18,51,578,26
5,68,579,11
19,189,580,27
15,72,581,21
10,10,582,1
39,124,583,53
64,100,584,1
69,119,585,1
37,48,586,1
42,60,587,1
18,20,588,26
83,190,589,118
83,190,589,119
83,190,589,120
39,124,590,53
74,132,591,107
82,187,592,117
5,5,593,11
76,136,594,1
14,14,595,1
15,154,596,21
33,93,597,47
33,93,597,48
33,93,597,49
54,83,598,1
23,80,599,1
19,44,600,27
11,153,601,14
11,153,601,15
11,153,601,16
2,2,602,2
2,2,602,3
2,2,602,4
2,2,602,5
15,154,603,21
66,159,604,91
66,159,604,92
66,159,604,93
4,32,605,9
4,32,605,10
15,15,606,21
72,128,607,105
72,128,607,106
25,62,608,1
84,191,609,121
84,191,609,122
84,191,609,123
7,7,610,13
42,192,611,1
8,8,612,1
18,51,613,26
15,15,614,21
40,54,615,54
6,6,616,12
39,52,617,53
42,60,618,1
12,108,619,17
18,40,620,26
70,122,621,98
1,147,622,1
66,159,623,91
66,159,623,92
66,159,623,93
35,43,624,51
50,126,625,65
50,126,625,66
19,115,626,27
49,97,627,1
7,148,628,13
11,11,629,14
11,11,629,15
11,11,629,16
18,104,630,26
25,29,631,1
79,164,632,113
79,164,632,114
79,164,632,115
28,112,633,41
44,64,634,1
7,193,635,13
24,28,636,1
5,5,637,11
16,16,638,22
16,16,638,23
16,16,638,24
59,167,639,81
45,65,640,57
45,65,640,58
18,40,641,26
57,138,642,76
57,138,642,77
57,138,642,78
46,66,643,59
46,66,643,60
65,101,644,1
19,170,645,27
28,37,646,41
18,40,647,26
15,15,648,21
79,164,649,113
79,164,649,114
79,164,649,115
39,52,650,53
52,81,651,1
42,60,652,1
81,186,653,116
34,111,654,50
12,173,655,17
85,194,656,124
85,194,656,125
85,194,656,126
14,14,657,1
19,170,658,27
67,137,659,94
67,137,659,95
67,137,659,96
86,195,660,127
86,195,660,128
86,195,660,129
86,195,660,130
19,170,661,27
16,16,662,22
16,16,662,23
16,16,662,24
27,140,663,38
27,140,663,39
27,140,663,40
35,43,664,51
47,70,665,61
83,190,666,118
83,190,666,119
83,190,666,120
34,111,667,50
43,181,668,56
25,29,669,1
18,40,670,26
1,147,671,1
11,153,672,14
11,153,672,15
11,153,672,16
77,146,673,1
23,80,674,1
5,30,675,11
40,156,676,54
17,18,677,25
10,10,678,1
76,136,679,1
26,31,680,36
26,31,680,37
66,102,681,91
66,102,681,92
66,102,681,93
74,132,682,107
21,25,683,31
21,25,683,32
21,25,683,33
55,84,684,75
81,186,685,116
9,59,686,1
20,165,687,28
20,165,687,29
20,165,687,30
34,111,688,50
62,95,689,85
62,95,689,86
62,95,689,87
62,95,689,88
27,33,690,38
27,33,690,39
27,33,690,40
27,33,691,38
27,33,691,39
27,33,691,40
16,16,692,22
16,16,692,23
16,16,692,24
10,10,693,1
75,135,694,108
75,135,694,109
48,71,695,62
48,71,695,63
48,71,695,64
6,46,696,12
5,30,697,11
49,175,698,1
14,14,699,1
25,94,700,1
7,182,701,13
71,125,702,99
71,125,702,100
71,125,702,101
71,125,702,102
71,125,702,103
71,125,702,104
8,8,703,1
25,94,704,1
77,146,705,1
36,69,706,1
48,71,707,62
48,71,707,63
48,71,707,64
28,37,708,41
59,167,709,81
8,22,710,1
6,114,711,12
5,30,712,11
25,94,713,1
39,52,714,53
9,59,715,1
22,26,716,34
22,26,716,35
19,44,717,27
81,186,718,116
5,68,719,11
6,6,720,12
34,42,721,50
61,91,722,84
50,78,723,65
50,78,723,66
23,129,724,1
43,63,725,56
17,103,726,25
44,155,727,1
17,67,728,25
6,6,729,12
52,151,730,1
74,132,731,107
40,54,732,54
69,176,733,1
72,128,734,105
72,128,734,106
50,117,735,65
50,117,735,66
18,51,736,26
38,106,737,52
17,17,738,25
28,37,739,41
17,17,740,25
3,3,741,6
3,3,741,7
3,3,741,8
52,151,742,1
1,1,743,1
75,135,744,108
75,135,744,109
50,196,745,65
50,196,745,66
31,53,746,1
39,183,747,53
39,124,748,53
39,75,749,53
54,107,750,1
38,106,751,52
40,54,752,54
68,121,753,97
72,128,754,105
72,128,754,106
46,73,755,59
46,73,755,60
42,96,756,1
50,196,757,65
50,196,757,66
49,175,758,1
25,62,759,1
35,43,760,51
27,171,761,38
27,171,761,39
27,171,761,40
87,197,762,1
66,152,763,91
66,152,763,92
66,152,763,93
79,172,764,113
79,172,764,114
79,172,764,115
68,121,765,97
50,145,766,65
50,145,766,66
6,61,767,12
22,168,768,34
22,168,768,35
8,22,769,1
6,76,770,12
39,124,771,53
50,196,772,65
50,196,772,66
2,24,773,2
2,24,773,3
2,24,773,4
2,24,773,5
58,88,774,79
58,88,774,80
76,136,775,1
83,190,776,118
83,190,776,119
83,190,776,120
66,159,777,91
66,159,777,92
66,159,777,93
72,178,778,105
72,178,778,106
61,91,779,84
62,95,780,85
62,95,780,86
62,95,780,87
62,95,780,88
84,191,781,121
84,191,781,122
84,191,781,123
16,139,782,22
16,139,782,23
16,139,782,24
12,173,783,17
80,166,784,1
59,167,785,81
38,106,786,52
33,93,787,47
33,93,787,48
33,93,787,49
46,158,788,59
46,158,788,60
18,104,789,26
23,80,790,1
40,156,791,54
73,131,792,1
38,130,793,52
78,150,794,110
78,150,794,111
78,150,794,112
35,43,795,51
87,197,796,1
25,29,797,1
16,157,798,22
16,157,798,23
16,157,798,24
30,36,799,43
30,36,799,44
3,3,800,6
3,3,800,7
3,3,800,8
28,112,801,41
69,119,802,1
69,180,803,1
23,27,804,1
46,73,805,59
46,73,805,60
66,152,806,91
66,152,806,92
66,152,806,93
40,156,807,54
1,198,808,1
17,17,809,25
33,93,810,47
33,93,810,48
33,93,810,49
67,137,811,94
67,137,811,95
67,137,811,96
33,41,812,47
33,41,812,48
33,41,812,49
4,4,813,9
4,4,813,10
12,12,814,17
15,154,815,21
39,183,816,53
52,179,817,1
19,115,818,27
8,22,819,1
12,57,820,17
18,40,821,26
22,26,822,34
22,26,822,35
86,195,823,127
86,195,823,128
86,195,823,129
86,195,823,130
70,122,824,98
27,140,825,38
27,140,825,39
27,140,825,40
73,131,826,1
42,60,827,1
62,95,828,85
62,95,828,86
62,95,828,87
62,95,828,88
9,9,829,1
50,126,830,65
50,126,830,66
52,179,831,1
39,75,832,53
84,191,833,121
84,191,833,122
84,191,833,123
24,56,834,1
10,10,835,1
33,93,836,47
33,93,836,48
33,93,836,49
65,101,837,1
1,198,838,1
60,90,839,82
60,90,839,83
10,10,840,1
12,57,841,17
4,32,842,9
4,32,842,10
52,179,843,1
54,83,844,1
50,196,845,65
50,196,845,66
52,143,846,1
36,69,847,1
9,59,848,1
57,138,849,76
57,138,849,77
57,138,849,78
47,169,850,61
4,32,851,9
4,32,851,10
8,177,852,1
26,31,853,36
26,31,853,37
26,109,854,36
26,109,854,37
39,75,855,53
19,44,856,27
70,122,857,98
58,88,858,79
58,88,858,80
54,163,859,1
62,95,860,85
62,95,860,86
62,95,860,87
62,95,860,88
42,96,861,1
74,132,862,107
19,170,863,27
62,95,864,85
62,95,864,86
62,95,864,87
62,95,864,88
58,92,865,79
58,92,865,80
36,47,866,1
3,3,867,6
3,3,867,7
3,3,867,8
36,69,868,1
2,2,869,2
2,2,869,3
2,2,869,4
2,2,869,5
29,35,870,42
42,192,871,1
79,172,872,113
79,172,872,114
79,172,872,115
49,142,873,1
10,19,874,1
38,130,875,52
17,103,876,25
27,33,877,38
27,33,877,39
27,33,877,40
12,108,878,17
7,193,879,13
31,38,880,1
56,86,881,1
30,36,882,43
30,36,882,44
52,179,883,1
2,2,884,2
2,2,884,3
2,2,884,4
2,2,884,5
60,160,885,82
60,160,885,83
16,161,886,22
16,161,886,23
16,161,886,24
41,55,887,55
16,16,888,22
16,16,888,23
16,16,888,24
60,134,889,82
60,134,889,83
72,178,890,105
72,178,890,106
64,100,891,1
12,173,892,17
38,130,893,52
50,145,894,65
50,145,894,66
56,86,895,1
29,35,896,42
45,65,897,57
45,65,897,58
7,182,898,13
83,190,899,118
83,190,899,119
83,190,899,120
1,147,900,1
64,100,901,1
6,46,902,12
19,170,903,27
73,131,904,1
32,39,905,45
32,39,905,46
76,136,906,1
50,145,907,65
50,145,907,66
28,34,908,41
56,86,909,1
23,80,910,1
27,171,911,38
27,171,911,39
27,171,911,40
7,7,912,13
52,151,913,1
8,177,914,1
22,26,915,34
22,26,915,35
12,57,916,17
46,73,917,59
46,73,917,60
85,194,918,124
85,194,918,125
85,194,918,126
43,181,919,56
52,179,920,1
58,92,921,79
58,92,921,80
54,83,922,1
76,136,923,1
40,156,924,54
69,119,925,1
12,49,926,17
19,189,927,27
55,84,928,75
7,7,929,13
72,128,930,105
72,128,930,106
3,45,931,6
3,45,931,7
3,45,931,8
74,132,932,107
57,87,933,76
57,87,933,77
57,87,933,78
25,94,934,1
67,113,935,94
67,113,935,95
67,113,935,96
19,189,936,27
40,156,937,54
75,135,938,108
75,135,938,109
60,134,939,82
60,134,939,83
31,38,940,1
27,33,941,38
27,33,941,39
27,33,941,40
32,39,942,45
32,39,942,46
39,183,943,53
34,111,944,50
11,153,945,14
11,153,945,15
11,153,945,16
28,112,946,41
38,130,947,52
2,24,948,2
2,24,948,3
2,24,948,4
2,24,948,5
35,110,949,51
40,156,950,54
6,76,951,12
12,108,952,17
60,90,953,82
60,90,953,83
27,171,954,38
27,171,954,39
27,171,954,40
63,99,955,89
63,99,955,90
12,12,956,17
30,36,957,43
30,36,957,44
54,83,958,1
23,27,959,1
11,11,960,14
11,11,960,15
11,11,960,16
57,138,961,76
57,138,961,77
57,138,961,78
69,119,962,1
21,25,963,31
21,25,963,32
21,25,963,33
34,42,964,50
38,106,965,52
50,127,966,65
50,127,966,66
69,180,967,1
61,91,968,84
69,180,969,1
60,134,970,82
60,134,970,83
19,21,971,27
31,53,972,1
19,170,973,27
66,159,974,91
66,159,974,92
66,159,974,93
5,68,975,11
5,30,976,11
34,111,977,50
7,7,978,13
60,160,979,82
60,160,979,83
6,61,980,12
39,124,981,53
24,56,982,1
69,119,983,1
26,109,984,36
26,109,984,37
19,21,985,27
36,58,986,1
39,52,987,53
18,40,988,26
42,192,989,1
35,43,990,51
60,160,991,82
60,160,991,83
8,22,992,1
37,48,993,1
50,196,994,65
50,196,994,66
48,71,995,62
48,71,995,63
48,71,995,64
60,134,996,82
60,134,996,83
20,165,997,28
20,165,997,29
20,165,997,30
25,94,998,1
5,68,999,11
6,76,1000,12
